account_id,instrument_id,holding_quantity,average_cost,market_price,market_value
ACC000688,INS00106,10,1961.34,2136.02,21360.20
ACC000466,INS00089,2,1251.31,1589.47,3178.94
ACC000660,INS00069,2,1660.90,949.13,1898.26
ACC000129,INS00052,2,2122.02,2134.54,4269.08
ACC000343,INS00054,100,1118.25,2165.70,216570.00
ACC000132,INS00056,10,1742.94,1184.81,11848.10
ACC000548,INS00038,50,694.75,165.31,8265.50
ACC000516,INS00076,50,660.10,1986.25,99312.50
ACC000255,INS00007,5,1116.47,812.33,4061.65
ACC000241,INS00037,100,339.45,654.48,65448.00
ACC000631,INS00113,10,1533.00,1962.26,19622.60
ACC000447,INS00120,100,1054.85,1028.97,102897.00
ACC000277,INS00030,25,1534.97,584.86,14621.50
ACC000746,INS00039,20,1390.94,520.06,10401.20
ACC000727,INS00028,25,1845.84,1622.78,40569.50
ACC000182,INS00025,10,820.02,508.43,5084.30
ACC000739,INS00094,10,665.37,2000.34,20003.40
ACC000265,INS00086,10,856.77,436.59,4365.90
ACC000785,INS00120,25,1433.93,1028.97,25724.25
ACC000066,INS00038,5,1312.82,165.31,826.55
ACC000594,INS00101,1,383.58,225.56,225.56
ACC000666,INS00007,5,1242.59,812.33,4061.65
ACC000319,INS00020,5,428.26,1590.97,7954.85
ACC000703,INS00014,100,1257.67,973.32,97332.00
ACC000420,INS00002,10,828.35,1230.15,12301.50
ACC000082,INS00097,2,2241.53,1716.77,3433.54
ACC000113,INS00040,20,799.62,1368.67,27373.40
ACC000042,INS00052,25,1854.93,2134.54,53363.50
ACC000027,INS00055,50,1898.81,1463.73,73186.50
ACC000392,INS00018,1,1566.67,752.55,752.55
ACC000423,INS00019,2,2106.53,2414.55,4829.10
ACC000359,INS00085,50,822.25,701.79,35089.50
ACC000750,INS00001,2,514.01,164.19,328.38
ACC000560,INS00109,5,1569.53,2368.65,11843.25
ACC000453,INS00099,20,1215.32,1350.68,27013.60
ACC000627,INS00082,20,2130.39,2257.23,45144.60
ACC000762,INS00017,1,541.19,1860.67,1860.67
ACC000301,INS00087,100,2148.73,719.06,71906.00
ACC000464,INS00018,1,1077.56,752.55,752.55
ACC000630,INS00088,100,898.34,2020.34,202034.00
ACC000025,INS00033,2,2210.38,233.56,467.12
ACC000211,INS00072,50,771.00,841.80,42090.00
ACC000650,INS00061,1,668.02,950.21,950.21
ACC000613,INS00022,50,2193.59,549.03,27451.50
ACC000328,INS00039,10,133.93,520.06,5200.60
ACC000569,INS00039,100,421.83,520.06,52006.00
ACC000592,INS00071,50,390.58,1136.28,56814.00
ACC000577,INS00062,100,2184.54,1049.34,104934.00
ACC000505,INS00026,2,723.51,1516.51,3033.02
ACC000296,INS00112,50,1374.25,1585.07,79253.50
ACC000085,INS00107,1,932.99,476.18,476.18
ACC000311,INS00067,10,1148.22,1763.64,17636.40
ACC000387,INS00057,50,175.47,2090.55,104527.50
ACC000589,INS00059,10,1604.76,1078.48,10784.80
ACC000340,INS00011,20,2153.54,2489.80,49796.00
ACC000636,INS00105,1,515.02,224.92,224.92
ACC000255,INS00069,50,288.55,949.13,47456.50
ACC000637,INS00054,25,571.70,2165.70,54142.50
ACC000703,INS00061,50,1812.56,950.21,47510.50
ACC000005,INS00021,5,1955.10,908.06,4540.30
ACC000494,INS00083,10,1798.43,692.75,6927.50
ACC000096,INS00097,100,614.80,1716.77,171677.00
ACC000564,INS00027,10,1281.48,336.77,3367.70
ACC000082,INS00037,2,1147.44,654.48,1308.96
ACC000500,INS00059,2,632.27,1078.48,2156.96
ACC000164,INS00014,1,1762.27,973.32,973.32
ACC000510,INS00046,5,1524.83,1856.76,9283.80
ACC000254,INS00051,2,139.54,1859.43,3718.86
ACC000021,INS00106,25,371.53,2136.02,53400.50
ACC000129,INS00054,100,933.69,2165.70,216570.00
ACC000496,INS00028,2,1911.57,1622.78,3245.56
ACC000664,INS00002,5,2102.02,1230.15,6150.75
ACC000344,INS00097,5,484.31,1716.77,8583.85
ACC000477,INS00120,10,996.77,1028.97,10289.70
ACC000723,INS00113,10,287.93,1962.26,19622.60
ACC000063,INS00083,50,774.97,692.75,34637.50
ACC000182,INS00080,20,1908.30,2302.66,46053.20
ACC000268,INS00118,100,923.52,1879.71,187971.00
ACC000624,INS00085,100,922.75,701.79,70179.00
ACC000617,INS00081,5,1936.78,1442.31,7211.55
ACC000218,INS00058,2,1303.52,2438.20,4876.40
ACC000187,INS00120,2,1425.04,1028.97,2057.94
ACC000762,INS00090,100,1156.02,2269.41,226941.00
ACC000729,INS00053,100,1582.25,965.37,96537.00
ACC000522,INS00086,20,1154.51,436.59,8731.80
ACC000497,INS00032,5,2202.02,157.01,785.05
ACC000170,INS00010,20,1807.40,1008.15,20163.00
ACC000717,INS00084,50,1677.33,312.42,15621.00
ACC000131,INS00016,25,1718.90,1667.72,41693.00
ACC000274,INS00012,25,1554.63,2291.32,57283.00
ACC000585,INS00025,5,1150.30,508.43,2542.15
ACC000250,INS00045,50,174.14,1695.42,84771.00
ACC000736,INS00033,100,1000.78,233.56,23356.00
ACC000608,INS00089,100,882.20,1589.47,158947.00
ACC000200,INS00076,10,1099.70,1986.25,19862.50
ACC000219,INS00078,100,1469.38,1393.14,139314.00
ACC000645,INS00007,10,475.78,812.33,8123.30
ACC000616,INS00086,1,311.03,436.59,436.59
ACC000051,INS00027,100,1013.91,336.77,33677.00
ACC000703,INS00120,50,915.64,1028.97,51448.50
ACC000424,INS00047,25,1383.55,1322.65,33066.25
ACC000072,INS00074,2,1956.22,1597.25,3194.50
ACC000576,INS00043,2,1064.82,1915.79,3831.58
ACC000727,INS00058,1,2172.76,2438.20,2438.20
ACC000331,INS00078,5,1681.56,1393.14,6965.70
ACC000226,INS00087,20,567.05,719.06,14381.20
ACC000315,INS00089,1,620.52,1589.47,1589.47
ACC000651,INS00115,50,1811.70,397.63,19881.50
ACC000338,INS00039,100,2166.82,520.06,52006.00
ACC000428,INS00004,50,167.63,422.78,21139.00
ACC000596,INS00081,10,1063.65,1442.31,14423.10
ACC000312,INS00035,5,1978.17,2311.15,11555.75
ACC000027,INS00017,5,1500.29,1860.67,9303.35
ACC000115,INS00099,10,2105.15,1350.68,13506.80
ACC000225,INS00042,25,1028.56,972.89,24322.25
ACC000008,INS00056,5,619.21,1184.81,5924.05
ACC000364,INS00039,10,1259.90,520.06,5200.60
ACC000036,INS00095,100,993.78,1145.58,114558.00
ACC000298,INS00075,2,744.12,1247.85,2495.70
ACC000042,INS00093,20,495.50,1203.93,24078.60
ACC000479,INS00086,100,1620.34,436.59,43659.00
ACC000509,INS00088,25,717.55,2020.34,50508.50
ACC000111,INS00083,10,2200.31,692.75,6927.50
ACC000168,INS00031,2,762.15,1948.85,3897.70
ACC000322,INS00029,20,616.25,2092.18,41843.60
ACC000704,INS00119,50,2250.03,857.55,42877.50
ACC000066,INS00025,20,1691.23,508.43,10168.60
ACC000085,INS00036,100,1023.01,1798.18,179818.00
ACC000652,INS00114,1,659.49,2006.57,2006.57
ACC000094,INS00087,2,1174.31,719.06,1438.12
ACC000409,INS00111,50,151.81,1504.10,75205.00
ACC000036,INS00083,20,569.40,692.75,13855.00
ACC000708,INS00061,2,1962.66,950.21,1900.42
ACC000300,INS00045,20,563.43,1695.42,33908.40
ACC000361,INS00109,100,1496.80,2368.65,236865.00
ACC000454,INS00037,5,1397.86,654.48,3272.40
ACC000085,INS00032,5,836.45,157.01,785.05
ACC000453,INS00019,50,644.43,2414.55,120727.50
ACC000501,INS00098,2,1254.07,1692.89,3385.78
ACC000056,INS00002,50,606.58,1230.15,61507.50
ACC000029,INS00060,50,408.58,1343.46,67173.00
ACC000308,INS00110,10,1391.20,2194.75,21947.50
ACC000056,INS00006,2,390.67,2116.76,4233.52
ACC000691,INS00094,5,2189.38,2000.34,10001.70
ACC000177,INS00060,1,874.58,1343.46,1343.46
ACC000471,INS00002,1,611.93,1230.15,1230.15
ACC000331,INS00027,1,325.50,336.77,336.77
ACC000011,INS00097,25,1700.71,1716.77,42919.25
ACC000053,INS00034,5,870.95,1970.71,9853.55
ACC000671,INS00094,20,653.86,2000.34,40006.80
ACC000738,INS00102,25,424.87,2408.03,60200.75
ACC000290,INS00044,1,297.64,1618.82,1618.82
ACC000393,INS00037,2,1935.70,654.48,1308.96
ACC000786,INS00079,2,721.19,596.47,1192.94
ACC000630,INS00025,50,628.15,508.43,25421.50
ACC000424,INS00111,100,572.66,1504.10,150410.00
ACC000387,INS00006,25,1571.84,2116.76,52919.00
ACC000465,INS00065,25,279.35,333.41,8335.25
ACC000638,INS00078,100,1407.86,1393.14,139314.00
ACC000234,INS00026,10,1050.42,1516.51,15165.10
ACC000551,INS00011,10,1217.69,2489.80,24898.00
ACC000065,INS00058,5,933.73,2438.20,12191.00
ACC000023,INS00019,1,1949.08,2414.55,2414.55
ACC000190,INS00049,50,314.71,412.92,20646.00
ACC000014,INS00054,2,1387.28,2165.70,4331.40
ACC000550,INS00026,25,1540.23,1516.51,37912.75
ACC000650,INS00047,2,2056.05,1322.65,2645.30
ACC000657,INS00096,20,444.78,743.69,14873.80
ACC000624,INS00096,10,1915.61,743.69,7436.90
ACC000768,INS00042,10,1285.11,972.89,9728.90
ACC000673,INS00039,50,1113.91,520.06,26003.00
ACC000140,INS00084,20,1502.01,312.42,6248.40
ACC000316,INS00073,10,2139.18,2052.47,20524.70
ACC000197,INS00094,1,1653.95,2000.34,2000.34
ACC000711,INS00017,50,648.45,1860.67,93033.50
ACC000378,INS00097,100,931.42,1716.77,171677.00
ACC000706,INS00105,5,1076.17,224.92,1124.60
ACC000596,INS00024,5,1034.36,2045.77,10228.85
ACC000305,INS00016,25,1265.11,1667.72,41693.00
ACC000198,INS00058,20,486.11,2438.20,48764.00
ACC000516,INS00016,1,440.89,1667.72,1667.72
ACC000405,INS00035,5,764.03,2311.15,11555.75
ACC000590,INS00031,2,900.09,1948.85,3897.70
ACC000376,INS00116,5,1608.14,2092.39,10461.95
ACC000197,INS00057,50,2212.91,2090.55,104527.50
ACC000027,INS00114,50,1522.10,2006.57,100328.50
ACC000242,INS00073,50,1729.09,2052.47,102623.50
ACC000500,INS00035,20,2040.97,2311.15,46223.00
ACC000469,INS00030,2,990.56,584.86,1169.72
ACC000033,INS00059,25,285.60,1078.48,26962.00
ACC000448,INS00058,50,1704.79,2438.20,121910.00
ACC000187,INS00034,50,1228.49,1970.71,98535.50
ACC000007,INS00039,10,1138.72,520.06,5200.60
ACC000298,INS00034,1,975.36,1970.71,1970.71
ACC000744,INS00012,20,790.15,2291.32,45826.40
ACC000205,INS00086,2,840.50,436.59,873.18
ACC000653,INS00011,25,924.57,2489.80,62245.00
ACC000172,INS00007,10,2171.61,812.33,8123.30
ACC000244,INS00104,25,2025.59,1722.89,43072.25
ACC000359,INS00032,2,364.55,157.01,314.02
ACC000484,INS00064,25,991.58,695.73,17393.25
ACC000334,INS00075,10,1485.11,1247.85,12478.50
ACC000139,INS00034,10,128.12,1970.71,19707.10
ACC000281,INS00119,5,698.92,857.55,4287.75
ACC000387,INS00040,50,2044.33,1368.67,68433.50
ACC000643,INS00085,5,1708.51,701.79,3508.95
ACC000393,INS00039,5,2308.84,520.06,2600.30
ACC000474,INS00061,5,407.50,950.21,4751.05
ACC000406,INS00059,25,1321.63,1078.48,26962.00
ACC000396,INS00040,100,950.67,1368.67,136867.00
ACC000301,INS00062,20,1273.14,1049.34,20986.80
ACC000075,INS00062,10,1923.48,1049.34,10493.40
ACC000219,INS00008,2,431.89,766.07,1532.14
ACC000189,INS00057,25,1220.99,2090.55,52263.75
ACC000310,INS00096,100,212.69,743.69,74369.00
ACC000344,INS00031,20,319.15,1948.85,38977.00
ACC000674,INS00052,20,2226.63,2134.54,42690.80
ACC000068,INS00025,5,2362.89,508.43,2542.15
ACC000049,INS00058,2,219.56,2438.20,4876.40
ACC000299,INS00081,1,621.51,1442.31,1442.31
ACC000320,INS00041,50,2195.10,1748.95,87447.50
ACC000057,INS00102,100,1443.29,2408.03,240803.00
ACC000465,INS00081,1,1807.45,1442.31,1442.31
ACC000069,INS00100,25,1572.78,1574.78,39369.50
ACC000746,INS00030,25,657.11,584.86,14621.50
ACC000789,INS00075,10,2203.85,1247.85,12478.50
ACC000020,INS00022,5,1476.13,549.03,2745.15
ACC000050,INS00015,5,744.41,1351.19,6755.95
ACC000014,INS00083,25,1857.11,692.75,17318.75
ACC000181,INS00093,25,2215.59,1203.93,30098.25
ACC000181,INS00079,50,1031.38,596.47,29823.50
ACC000783,INS00004,20,2291.04,422.78,8455.60
ACC000020,INS00051,20,2081.00,1859.43,37188.60
ACC000212,INS00042,20,1258.86,972.89,19457.80
ACC000395,INS00041,1,1489.68,1748.95,1748.95
ACC000205,INS00103,25,1881.22,157.88,3947.00
ACC000394,INS00041,1,1604.91,1748.95,1748.95
ACC000600,INS00082,5,1202.95,2257.23,11286.15
ACC000007,INS00051,20,1183.93,1859.43,37188.60
ACC000130,INS00085,50,151.48,701.79,35089.50
ACC000477,INS00095,10,2094.94,1145.58,11455.80
ACC000627,INS00005,100,1548.46,1321.35,132135.00
ACC000473,INS00020,100,748.87,1590.97,159097.00
ACC000383,INS00014,5,1781.29,973.32,4866.60
ACC000664,INS00017,1,2011.63,1860.67,1860.67
ACC000460,INS00102,25,466.53,2408.03,60200.75
ACC000546,INS00023,1,1096.98,1584.44,1584.44
ACC000642,INS00028,100,157.15,1622.78,162278.00
ACC000392,INS00093,2,1199.65,1203.93,2407.86
ACC000730,INS00108,5,1635.55,564.49,2822.45
ACC000426,INS00063,100,1451.39,2430.24,243024.00
ACC000131,INS00036,25,582.73,1798.18,44954.50
ACC000177,INS00051,100,2316.64,1859.43,185943.00
ACC000071,INS00077,20,564.77,1686.96,33739.20
ACC000510,INS00018,100,1375.18,752.55,75255.00
ACC000385,INS00066,10,878.48,1884.91,18849.10
ACC000521,INS00047,1,237.47,1322.65,1322.65
ACC000099,INS00039,1,1177.49,520.06,520.06
ACC000024,INS00041,20,675.39,1748.95,34979.00
ACC000219,INS00012,10,2278.56,2291.32,22913.20
ACC000090,INS00033,20,2086.41,233.56,4671.20
ACC000038,INS00080,25,1033.54,2302.66,57566.50
ACC000384,INS00072,2,251.31,841.80,1683.60
ACC000189,INS00012,50,945.14,2291.32,114566.00
ACC000358,INS00038,10,1796.64,165.31,1653.10
ACC000069,INS00041,10,773.30,1748.95,17489.50
ACC000710,INS00092,25,203.31,1862.61,46565.25
ACC000460,INS00021,10,1838.05,908.06,9080.60
ACC000021,INS00014,5,640.75,973.32,4866.60
ACC000668,INS00117,5,432.24,1951.26,9756.30
ACC000490,INS00077,10,898.88,1686.96,16869.60
ACC000427,INS00087,100,179.41,719.06,71906.00
ACC000311,INS00108,5,1568.57,564.49,2822.45
ACC000717,INS00119,25,322.47,857.55,21438.75
ACC000268,INS00081,5,964.80,1442.31,7211.55
ACC000416,INS00068,20,2063.86,688.16,13763.20
ACC000663,INS00094,50,1275.46,2000.34,100017.00
ACC000382,INS00016,25,779.56,1667.72,41693.00
ACC000338,INS00056,25,1507.26,1184.81,29620.25
ACC000133,INS00112,25,2422.75,1585.07,39626.75
ACC000625,INS00034,25,2011.55,1970.71,49267.75
ACC000059,INS00056,1,1917.70,1184.81,1184.81
ACC000001,INS00045,1,1581.99,1695.42,1695.42
ACC000248,INS00083,10,1153.02,692.75,6927.50
ACC000704,INS00081,50,1703.06,1442.31,72115.50
ACC000253,INS00072,25,678.62,841.80,21045.00
ACC000291,INS00077,50,769.50,1686.96,84348.00
ACC000494,INS00068,1,1191.29,688.16,688.16
ACC000264,INS00081,50,1807.52,1442.31,72115.50
ACC000482,INS00007,100,795.54,812.33,81233.00
ACC000025,INS00098,10,123.53,1692.89,16928.90
ACC000624,INS00004,2,1367.21,422.78,845.56
ACC000103,INS00058,10,575.68,2438.20,24382.00
ACC000442,INS00108,25,995.80,564.49,14112.25
ACC000018,INS00021,20,249.71,908.06,18161.20
ACC000235,INS00114,50,2198.07,2006.57,100328.50
ACC000234,INS00120,100,192.70,1028.97,102897.00
ACC000362,INS00087,20,871.79,719.06,14381.20
ACC000533,INS00038,20,1589.19,165.31,3306.20
ACC000003,INS00045,20,416.68,1695.42,33908.40
ACC000597,INS00041,2,1399.04,1748.95,3497.90
ACC000450,INS00039,5,2331.87,520.06,2600.30
ACC000054,INS00088,100,2035.03,2020.34,202034.00
ACC000616,INS00080,2,1626.06,2302.66,4605.32
ACC000575,INS00012,25,1515.88,2291.32,57283.00
ACC000009,INS00036,10,1656.64,1798.18,17981.80
ACC000658,INS00105,25,820.27,224.92,5623.00
ACC000649,INS00038,50,1415.04,165.31,8265.50
ACC000329,INS00106,5,1219.60,2136.02,10680.10
ACC000586,INS00014,100,1379.77,973.32,97332.00
ACC000717,INS00095,10,2184.09,1145.58,11455.80
ACC000019,INS00096,5,2177.99,743.69,3718.45
ACC000578,INS00050,5,1438.96,1594.12,7970.60
ACC000360,INS00013,10,1596.69,1370.95,13709.50
ACC000788,INS00067,5,2381.65,1763.64,8818.20
ACC000079,INS00051,50,972.59,1859.43,92971.50
ACC000338,INS00063,100,2325.16,2430.24,243024.00
ACC000575,INS00117,25,1951.95,1951.26,48781.50
ACC000020,INS00035,50,1287.05,2311.15,115557.50
ACC000554,INS00116,10,2122.25,2092.39,20923.90
ACC000340,INS00017,100,1982.65,1860.67,186067.00
ACC000047,INS00022,25,2207.71,549.03,13725.75
ACC000146,INS00001,5,512.21,164.19,820.95
ACC000082,INS00053,1,1575.75,965.37,965.37
ACC000758,INS00026,10,1655.59,1516.51,15165.10
ACC000222,INS00070,25,487.02,967.40,24185.00
ACC000045,INS00003,50,722.24,364.15,18207.50
ACC000344,INS00115,25,224.14,397.63,9940.75
ACC000037,INS00117,25,1074.18,1951.26,48781.50
ACC000551,INS00102,25,2301.75,2408.03,60200.75
ACC000190,INS00099,1,690.76,1350.68,1350.68
ACC000597,INS00099,50,1779.38,1350.68,67534.00
ACC000501,INS00030,25,772.13,584.86,14621.50
ACC000785,INS00047,2,478.07,1322.65,2645.30
ACC000057,INS00002,1,618.27,1230.15,1230.15
ACC000673,INS00062,1,1425.42,1049.34,1049.34
ACC000208,INS00023,1,948.21,1584.44,1584.44
ACC000536,INS00028,5,726.62,1622.78,8113.90
ACC000242,INS00115,1,2046.48,397.63,397.63
ACC000012,INS00021,20,368.28,908.06,18161.20
ACC000427,INS00029,100,1455.37,2092.18,209218.00
ACC000738,INS00096,25,1966.45,743.69,18592.25
ACC000745,INS00004,40,1886.56,422.78,16911.20
ACC000763,INS00088,20,2349.10,2020.34,40406.80
ACC000428,INS00015,2,229.95,1351.19,2702.38
ACC000147,INS00045,20,1216.79,1695.42,33908.40
ACC000067,INS00032,100,362.88,157.01,15701.00
ACC000174,INS00117,100,293.93,1951.26,195126.00
ACC000519,INS00074,25,2267.28,1597.25,39931.25
ACC000236,INS00061,25,1653.30,950.21,23755.25
ACC000443,INS00026,50,696.78,1516.51,75825.50
ACC000286,INS00002,1,2023.73,1230.15,1230.15
ACC000222,INS00111,1,1331.81,1504.10,1504.10
ACC000015,INS00001,10,1627.11,164.19,1641.90
ACC000785,INS00090,2,367.34,2269.41,4538.82
ACC000797,INS00016,100,358.24,1667.72,166772.00
ACC000434,INS00114,20,122.64,2006.57,40131.40
ACC000555,INS00104,100,984.59,1722.89,172289.00
ACC000762,INS00112,2,1840.86,1585.07,3170.14
ACC000190,INS00060,1,2138.34,1343.46,1343.46
ACC000388,INS00019,1,955.70,2414.55,2414.55
ACC000445,INS00113,100,2158.01,1962.26,196226.00
ACC000333,INS00092,5,388.57,1862.61,9313.05
ACC000306,INS00073,100,618.44,2052.47,205247.00
ACC000297,INS00075,2,1670.05,1247.85,2495.70
ACC000660,INS00090,1,2149.65,2269.41,2269.41
ACC000158,INS00035,2,1496.82,2311.15,4622.30
ACC000082,INS00075,2,698.74,1247.85,2495.70
ACC000031,INS00045,20,883.55,1695.42,33908.40
ACC000274,INS00024,50,480.40,2045.77,102288.50
ACC000670,INS00079,20,1213.25,596.47,11929.40
ACC000333,INS00010,25,1021.19,1008.15,25203.75
ACC000059,INS00065,50,968.55,333.41,16670.50
ACC000046,INS00076,20,991.56,1986.25,39725.00
ACC000233,INS00071,1,2385.71,1136.28,1136.28
ACC000240,INS00072,2,938.04,841.80,1683.60
ACC000667,INS00064,2,2352.95,695.73,1391.46
ACC000776,INS00101,100,2085.98,225.56,22556.00
ACC000614,INS00042,20,1687.97,972.89,19457.80
ACC000738,INS00087,20,2359.26,719.06,14381.20
ACC000151,INS00058,25,1369.89,2438.20,60955.00
ACC000316,INS00056,100,2013.09,1184.81,118481.00
ACC000467,INS00085,2,682.43,701.79,1403.58
ACC000319,INS00096,25,1959.29,743.69,18592.25
ACC000702,INS00069,1,1007.46,949.13,949.13
ACC000584,INS00011,50,2222.83,2489.80,124490.00
ACC000089,INS00104,50,200.59,1722.89,86144.50
ACC000546,INS00074,1,1709.44,1597.25,1597.25
ACC000280,INS00048,100,1724.46,2459.75,245975.00
ACC000238,INS00104,2,812.21,1722.89,3445.78
ACC000761,INS00078,25,425.02,1393.14,34828.50
ACC000005,INS00044,5,1032.74,1618.82,8094.10
ACC000768,INS00100,20,573.88,1574.78,31495.60
ACC000426,INS00040,1,1941.85,1368.67,1368.67
ACC000011,INS00117,5,2026.91,1951.26,9756.30
ACC000053,INS00095,2,1952.26,1145.58,2291.16
ACC000640,INS00026,20,1773.62,1516.51,30330.20
ACC000335,INS00039,5,1622.00,520.06,2600.30
ACC000015,INS00079,1,2306.64,596.47,596.47
ACC000591,INS00079,1,571.26,596.47,596.47
ACC000640,INS00046,2,1867.38,1856.76,3713.52
ACC000760,INS00013,25,612.30,1370.95,34273.75
ACC000642,INS00070,100,1494.09,967.40,96740.00
ACC000394,INS00013,1,659.86,1370.95,1370.95
ACC000642,INS00097,100,240.88,1716.77,171677.00
ACC000373,INS00118,10,2195.21,1879.71,18797.10
ACC000200,INS00102,5,565.38,2408.03,12040.15
ACC000643,INS00021,100,1377.29,908.06,90806.00
ACC000134,INS00088,25,2039.97,2020.34,50508.50
ACC000065,INS00010,100,2019.98,1008.15,100815.00
ACC000443,INS00080,5,1252.78,2302.66,11513.30
ACC000116,INS00028,5,2277.35,1622.78,8113.90
ACC000256,INS00049,25,1278.80,412.92,10323.00
ACC000306,INS00052,20,1603.65,2134.54,42690.80
ACC000500,INS00070,20,521.74,967.40,19348.00
ACC000270,INS00099,25,1996.80,1350.68,33767.00
ACC000198,INS00042,2,932.22,972.89,1945.78
ACC000290,INS00003,1,782.76,364.15,364.15
ACC000580,INS00077,2,1177.37,1686.96,3373.92
ACC000079,INS00031,25,892.06,1948.85,48721.25
ACC000598,INS00024,20,1348.82,2045.77,40915.40
ACC000025,INS00081,25,1016.87,1442.31,36057.75
ACC000051,INS00066,25,2291.61,1884.91,47122.75
ACC000222,INS00020,5,2093.09,1590.97,7954.85
ACC000312,INS00066,50,859.58,1884.91,94245.50
ACC000593,INS00025,2,1920.73,508.43,1016.86
ACC000559,INS00004,25,1630.26,422.78,10569.50
ACC000213,INS00071,10,1145.83,1136.28,11362.80
ACC000243,INS00087,100,603.07,719.06,71906.00
ACC000733,INS00037,1,1590.87,654.48,654.48
ACC000386,INS00037,20,1026.09,654.48,13089.60
ACC000660,INS00010,100,463.78,1008.15,100815.00
ACC000337,INS00060,100,496.57,1343.46,134346.00
ACC000012,INS00024,1,1251.62,2045.77,2045.77
ACC000097,INS00043,100,823.58,1915.79,191579.00
ACC000754,INS00077,100,2286.78,1686.96,168696.00
ACC000757,INS00016,25,1188.61,1667.72,41693.00
ACC000212,INS00033,1,1790.95,233.56,233.56
ACC000216,INS00065,2,974.71,333.41,666.82
ACC000712,INS00068,2,1524.72,688.16,1376.32
ACC000183,INS00097,20,740.42,1716.77,34335.40
ACC000306,INS00090,20,442.32,2269.41,45388.20
ACC000025,INS00036,20,2411.39,1798.18,35963.60
ACC000054,INS00106,50,414.13,2136.02,106801.00
ACC000130,INS00115,1,708.98,397.63,397.63
ACC000046,INS00038,50,121.05,165.31,8265.50
ACC000452,INS00118,20,208.08,1879.71,37594.20
ACC000512,INS00049,50,1627.32,412.92,20646.00
ACC000143,INS00053,10,1856.11,965.37,9653.70
ACC000397,INS00060,5,1614.39,1343.46,6717.30
ACC000380,INS00117,2,2159.46,1951.26,3902.52
ACC000007,INS00105,25,1329.67,224.92,5623.00
ACC000497,INS00084,100,1067.62,312.42,31242.00
ACC000269,INS00090,2,2230.90,2269.41,4538.82
ACC000676,INS00115,10,756.49,397.63,3976.30
ACC000670,INS00082,5,2007.30,2257.23,11286.15
ACC000791,INS00100,20,2366.22,1574.78,31495.60
ACC000187,INS00060,20,514.31,1343.46,26869.20
ACC000454,INS00056,2,552.79,1184.81,2369.62
ACC000141,INS00116,50,720.27,2092.39,104619.50
ACC000442,INS00034,5,835.48,1970.71,9853.55
ACC000168,INS00064,100,2163.22,695.73,69573.00
ACC000449,INS00002,1,2096.12,1230.15,1230.15
ACC000418,INS00030,50,1219.80,584.86,29243.00
ACC000760,INS00062,5,495.35,1049.34,5246.70
ACC000285,INS00068,2,346.13,688.16,1376.32
ACC000003,INS00082,2,232.26,2257.23,4514.46
ACC000399,INS00110,100,1315.42,2194.75,219475.00
ACC000134,INS00039,20,628.95,520.06,10401.20
ACC000644,INS00004,25,2136.37,422.78,10569.50
ACC000384,INS00024,50,410.17,2045.77,102288.50
