settlement_id,trade_id,business_date,settlement_date,settlement_status
SET00000098,TRD00000098,2026-04-21,2026-04-22,SETTLED
SET00000099,TRD00000099,2026-04-21,2026-04-22,SETTLED
SET00000100,TRD00000100,2026-04-21,2026-04-22,PENDING
SET00000101,TRD00000101,2026-04-21,2026-04-22,SETTLED
SET00000102,TRD00000102,2026-04-21,2026-04-22,SETTLED
SET00000103,TRD00000103,2026-04-21,2026-04-22,SETTLED
SET00000104,TRD00000104,2026-04-21,2026-04-22,SETTLED
SET00000105,TRD00000105,2026-04-21,2026-04-22,SETTLED
SET00000106,TRD00000106,2026-04-21,2026-04-22,SETTLED
SET00000107,TRD00000107,2026-04-21,2026-04-22,SETTLED
SET00000108,TRD00000108,2026-04-21,2026-04-22,SETTLED
SET00000109,TRD00000109,2026-04-21,2026-04-22,SETTLED
SET00000110,TRD00000110,2026-04-21,2026-04-22,PENDING
SET00000111,TRD00000111,2026-04-21,2026-04-22,SETTLED
SET00000112,TRD00000112,2026-04-21,2026-04-22,SETTLED
SET00000113,TRD00000113,2026-04-21,2026-04-22,SETTLED
SET00000114,TRD00000114,2026-04-21,2026-04-22,SETTLED
SET00000115,TRD00000115,2026-04-21,2026-04-22,SETTLED
SET00000116,TRD00000116,2026-04-21,2026-04-22,SETTLED
SET00000117,TRD00000117,2026-04-21,2026-04-22,SETTLED
SET00000118,TRD00000118,2026-04-21,2026-04-22,SETTLED
SET00000119,TRD00000119,2026-04-21,2026-04-22,SETTLED
SET00000120,TRD00000120,2026-04-21,2026-04-22,PENDING
SET00000121,TRD00000121,2026-04-21,2026-04-22,SETTLED
SET00000122,TRD00000122,2026-04-21,2026-04-22,SETTLED
SET00000123,TRD00000123,2026-04-21,2026-04-22,SETTLED
SET00000124,TRD00000124,2026-04-21,2026-04-22,SETTLED
SET00000125,TRD00000125,2026-04-21,2026-04-22,SETTLED
SET00000126,TRD00000126,2026-04-21,2026-04-22,SETTLED
SET00000127,TRD00000127,2026-04-21,2026-04-22,SETTLED
SET00000128,TRD00000128,2026-04-21,2026-04-22,SETTLED
SET00000129,TRD00000129,2026-04-21,2026-04-22,SETTLED
SET00000130,TRD00000130,2026-04-21,2026-04-22,PENDING
SET00000131,TRD00000131,2026-04-21,2026-04-22,SETTLED
SET00000132,TRD00000132,2026-04-21,2026-04-22,SETTLED
SET00000133,TRD00000133,2026-04-21,2026-04-22,SETTLED
SET00000134,TRD00000134,2026-04-21,2026-04-22,SETTLED
SET00000135,TRD00000135,2026-04-21,2026-04-22,SETTLED
SET00000136,TRD00000136,2026-04-21,2026-04-22,SETTLED
SET00000137,TRD00000137,2026-04-21,2026-04-22,SETTLED
SET00000138,TRD00000138,2026-04-21,2026-04-22,SETTLED
SET00000139,TRD00000139,2026-04-21,2026-04-22,SETTLED
SET00000140,TRD00000140,2026-04-21,2026-04-22,PENDING
SET00000141,TRD00000141,2026-04-21,2026-04-22,SETTLED
SET00000142,TRD00000142,2026-04-21,2026-04-22,SETTLED
SET00000143,TRD00000143,2026-04-21,2026-04-22,SETTLED
SET00000144,TRD00000144,2026-04-21,2026-04-22,SETTLED
SET00000145,TRD00000145,2026-04-21,2026-04-22,SETTLED
SET00000146,TRD00000146,2026-04-21,2026-04-22,SETTLED
SET00000147,TRD00000147,2026-04-21,2026-04-22,SETTLED
SET00000148,TRD00000148,2026-04-21,2026-04-22,SETTLED
SET00000149,TRD00000149,2026-04-21,2026-04-22,SETTLED
SET00000150,TRD00000150,2026-04-21,2026-04-22,PENDING
SET00000151,TRD00000151,2026-04-21,2026-04-22,SETTLED
SET00000152,TRD00000152,2026-04-21,2026-04-22,SETTLED
SET00000153,TRD00000153,2026-04-21,2026-04-22,SETTLED
SET00000154,TRD00000154,2026-04-21,2026-04-22,SETTLED
SET00000155,TRD00000155,2026-04-21,2026-04-22,SETTLED
SET00000156,TRD00000156,2026-04-21,2026-04-22,SETTLED
SET00000157,TRD00000157,2026-04-21,2026-04-22,SETTLED
SET00000158,TRD00000158,2026-04-21,2026-04-22,SETTLED
SET00000159,TRD00000159,2026-04-21,2026-04-22,SETTLED
SET00000160,TRD00000160,2026-04-21,2026-04-22,PENDING
SET00000161,TRD00000161,2026-04-21,2026-04-22,SETTLED
SET00000162,TRD00000162,2026-04-21,2026-04-22,SETTLED
SET00000163,TRD00000163,2026-04-21,2026-04-22,SETTLED
SET00000164,TRD00000164,2026-04-21,2026-04-22,SETTLED
SET00000165,TRD00000165,2026-04-21,2026-04-22,SETTLED
SET00000166,TRD00000166,2026-04-21,2026-04-22,SETTLED
SET00000167,TRD00000167,2026-04-21,2026-04-22,SETTLED
SET00000168,TRD00000168,2026-04-21,2026-04-22,SETTLED
SET00000169,TRD00000169,2026-04-21,2026-04-22,SETTLED
SET00000170,TRD00000170,2026-04-21,2026-04-22,PENDING
SET00000171,TRD00000171,2026-04-21,2026-04-22,SETTLED
SET00000172,TRD00000172,2026-04-21,2026-04-22,SETTLED
SET00000173,TRD00000173,2026-04-21,2026-04-22,SETTLED
SET00000174,TRD00000174,2026-04-21,2026-04-22,SETTLED
SET00000175,TRD00000175,2026-04-21,2026-04-22,SETTLED
SET00000176,TRD00000176,2026-04-21,2026-04-22,SETTLED
SET00000177,TRD00000177,2026-04-21,2026-04-22,SETTLED
SET00000178,TRD00000178,2026-04-21,2026-04-22,SETTLED
SET00000179,TRD00000179,2026-04-21,2026-04-22,SETTLED
SET00000180,TRD00000180,2026-04-21,2026-04-22,PENDING
SET00000181,TRD00000181,2026-04-21,2026-04-22,SETTLED
SET00000182,TRD00000182,2026-04-21,2026-04-22,SETTLED
SET00000183,TRD00000183,2026-04-21,2026-04-22,SETTLED
SET00000184,TRD00000184,2026-04-21,2026-04-22,SETTLED
SET00000185,TRD00000185,2026-04-21,2026-04-22,SETTLED
SET00000186,TRD00000186,2026-04-21,2026-04-22,SETTLED
SET00000187,TRD00000187,2026-04-21,2026-04-22,SETTLED
SET00000188,TRD00000188,2026-04-21,2026-04-22,SETTLED
SET00000189,TRD00000189,2026-04-21,2026-04-22,SETTLED
SET00000190,TRD00000190,2026-04-21,2026-04-22,PENDING
SET00000191,TRD00000191,2026-04-21,2026-04-22,SETTLED
SET00000192,TRD00000192,2026-04-21,2026-04-22,SETTLED
SET00000193,TRD00000193,2026-04-21,2026-04-22,SETTLED
SET00000194,TRD00000194,2026-04-21,2026-04-22,SETTLED
SET00000195,TRD00000195,2026-04-21,2026-04-22,SETTLED
SET00000196,TRD00000196,2026-04-21,2026-04-22,SETTLED
SET00000197,TRD00000197,2026-04-21,2026-04-22,SETTLED
SET00000198,TRD00000198,2026-04-21,2026-04-22,SETTLED
SET00000199,TRD00000199,2026-04-21,2026-04-22,SETTLED
SET00000200,TRD00000200,2026-04-21,2026-04-22,PENDING
SET00000201,TRD00000201,2026-04-21,2026-04-22,SETTLED
SET00000202,TRD00000202,2026-04-21,2026-04-22,SETTLED
SET00000203,TRD00000203,2026-04-21,2026-04-22,SETTLED
SET00000204,TRD00000204,2026-04-21,2026-04-22,SETTLED
SET00000205,TRD00000205,2026-04-21,2026-04-22,SETTLED
SET00000206,TRD00000206,2026-04-21,2026-04-22,SETTLED
SET00000207,TRD00000207,2026-04-21,2026-04-22,SETTLED
SET00000208,TRD00000208,2026-04-21,2026-04-22,SETTLED
SET00000209,TRD00000209,2026-04-21,2026-04-22,SETTLED
SET00000210,TRD00000210,2026-04-21,2026-04-22,PENDING
SET00000211,TRD00000211,2026-04-21,2026-04-22,SETTLED
SET00000212,TRD00000212,2026-04-21,2026-04-22,SETTLED
SET00000213,TRD00000213,2026-04-21,2026-04-22,SETTLED
SET00000214,TRD00000214,2026-04-21,2026-04-22,SETTLED
SET00000215,TRD00000215,2026-04-21,2026-04-22,SETTLED
SET00000216,TRD00000216,2026-04-21,2026-04-22,SETTLED
SET00000217,TRD00000217,2026-04-21,2026-04-22,SETTLED
SET00000218,TRD00000218,2026-04-21,2026-04-22,SETTLED
SET00000219,TRD00000219,2026-04-21,2026-04-22,SETTLED
SET00000220,TRD00000220,2026-04-21,2026-04-22,PENDING
SET00000221,TRD00000221,2026-04-21,2026-04-22,SETTLED
SET00000222,TRD00000222,2026-04-21,2026-04-22,SETTLED
SET00000223,TRD00000223,2026-04-21,2026-04-22,SETTLED
SET00000224,TRD00000224,2026-04-21,2026-04-22,SETTLED
SET00000225,TRD00000225,2026-04-21,2026-04-22,SETTLED
SET00000226,TRD00000226,2026-04-21,2026-04-22,SETTLED
SET00000227,TRD00000227,2026-04-21,2026-04-22,SETTLED
SET00000228,TRD00000228,2026-04-21,2026-04-22,SETTLED
SET00000229,TRD00000229,2026-04-21,2026-04-22,SETTLED
SET00000230,TRD00000230,2026-04-21,2026-04-22,PENDING
SET00000231,TRD00000231,2026-04-21,2026-04-22,SETTLED
SET00000232,TRD00000232,2026-04-21,2026-04-22,SETTLED
SET00000233,TRD00000233,2026-04-21,2026-04-22,SETTLED
SET00000234,TRD00000234,2026-04-21,2026-04-22,SETTLED
SET00000235,TRD00000235,2026-04-21,2026-04-22,SETTLED
SET00000236,TRD00000236,2026-04-21,2026-04-22,SETTLED
SET00000237,TRD00000237,2026-04-21,2026-04-22,SETTLED
SET00000238,TRD00000238,2026-04-21,2026-04-22,SETTLED
SET00000239,TRD00000239,2026-04-21,2026-04-22,SETTLED
SET00000240,TRD00000240,2026-04-21,2026-04-22,PENDING
SET00000241,TRD00000241,2026-04-21,2026-04-22,SETTLED
SET00000242,TRD00000242,2026-04-21,2026-04-22,SETTLED
SET00000243,TRD00000243,2026-04-21,2026-04-22,SETTLED
SET00000244,TRD00000244,2026-04-21,2026-04-22,SETTLED
SET00000245,TRD00000245,2026-04-21,2026-04-22,SETTLED
SET00000246,TRD00000246,2026-04-21,2026-04-22,SETTLED
SET00000247,TRD00000247,2026-04-21,2026-04-22,SETTLED
SET00000248,TRD00000248,2026-04-21,2026-04-22,SETTLED
SET00000249,TRD00000249,2026-04-21,2026-04-22,SETTLED
SET00000250,TRD00000250,2026-04-21,2026-04-22,PENDING
SET00000251,TRD00000251,2026-04-21,2026-04-22,SETTLED
SET00000252,TRD00000252,2026-04-21,2026-04-22,SETTLED
SET00000253,TRD00000253,2026-04-21,2026-04-22,SETTLED
SET00000254,TRD00000254,2026-04-21,2026-04-22,SETTLED
SET00000255,TRD00000255,2026-04-21,2026-04-22,SETTLED
SET00000256,TRD00000256,2026-04-21,2026-04-22,SETTLED
SET00000257,TRD00000257,2026-04-21,2026-04-22,SETTLED
SET00000258,TRD00000258,2026-04-21,2026-04-22,SETTLED
SET00000259,TRD00000259,2026-04-21,2026-04-22,SETTLED
SET00000260,TRD00000260,2026-04-21,2026-04-22,PENDING
SET00000261,TRD00000261,2026-04-21,2026-04-22,SETTLED
SET00000262,TRD00000262,2026-04-21,2026-04-22,SETTLED
SET00000263,TRD00000263,2026-04-21,2026-04-22,SETTLED
SET00000264,TRD00000264,2026-04-21,2026-04-22,SETTLED
SET00000265,TRD00000265,2026-04-21,2026-04-22,SETTLED
SET00000266,TRD00000266,2026-04-21,2026-04-22,SETTLED
SET00000267,TRD00000267,2026-04-21,2026-04-22,SETTLED
SET00000268,TRD00000268,2026-04-21,2026-04-22,SETTLED
SET00000269,TRD00000269,2026-04-21,2026-04-22,SETTLED
SET00000270,TRD00000270,2026-04-21,2026-04-22,PENDING
SET00000271,TRD00000271,2026-04-21,2026-04-22,SETTLED
SET00000272,TRD00000272,2026-04-21,2026-04-22,SETTLED
SET00000273,TRD00000273,2026-04-21,2026-04-22,SETTLED
SET00000274,TRD00000274,2026-04-21,2026-04-22,SETTLED
SET00000275,TRD00000275,2026-04-21,2026-04-22,SETTLED
SET00000276,TRD00000276,2026-04-21,2026-04-22,SETTLED
SET00000277,TRD00000277,2026-04-21,2026-04-22,SETTLED
SET00000278,TRD00000278,2026-04-21,2026-04-22,SETTLED
SET00000279,TRD00000279,2026-04-21,2026-04-22,SETTLED
SET00000280,TRD00000280,2026-04-21,2026-04-22,PENDING
SET00000281,TRD00000281,2026-04-21,2026-04-22,SETTLED
SET00000282,TRD00000282,2026-04-21,2026-04-22,SETTLED
SET00000283,TRD00000283,2026-04-21,2026-04-22,SETTLED
SET00000284,TRD00000284,2026-04-21,2026-04-22,SETTLED
SET00000285,TRD00000285,2026-04-21,2026-04-22,SETTLED
SET00000286,TRD00000286,2026-04-21,2026-04-22,SETTLED
SET00000287,TRD00000287,2026-04-21,2026-04-22,SETTLED
SET00000288,TRD00000288,2026-04-21,2026-04-22,SETTLED
SET00000289,TRD00000289,2026-04-21,2026-04-22,SETTLED
SET00000290,TRD00000290,2026-04-21,2026-04-22,PENDING
SET00000291,TRD00000291,2026-04-21,2026-04-22,SETTLED
SET00000292,TRD00000292,2026-04-21,2026-04-22,SETTLED
SET00000293,TRD00000293,2026-04-21,2026-04-22,SETTLED
SET00000294,TRD00000294,2026-04-21,2026-04-22,SETTLED
SET00000295,TRD00000295,2026-04-21,2026-04-22,SETTLED
SET00000296,TRD00000296,2026-04-21,2026-04-22,SETTLED
SET00000297,TRD00000297,2026-04-21,2026-04-22,SETTLED
SET00000298,TRD00000298,2026-04-21,2026-04-22,SETTLED
SET00000299,TRD00000299,2026-04-21,2026-04-22,SETTLED
SET00000300,TRD00000300,2026-04-21,2026-04-22,PENDING
SET00000301,TRD00000301,2026-04-21,2026-04-22,SETTLED
SET00000302,TRD00000302,2026-04-21,2026-04-22,SETTLED
SET00000303,TRD00000303,2026-04-21,2026-04-22,SETTLED
SET00000304,TRD00000304,2026-04-21,2026-04-22,SETTLED
SET00000305,TRD00000305,2026-04-21,2026-04-22,SETTLED
SET00000306,TRD00000306,2026-04-21,2026-04-22,SETTLED
SET00000307,TRD00000307,2026-04-21,2026-04-22,SETTLED
SET00000308,TRD00000308,2026-04-21,2026-04-22,SETTLED
SET00000309,TRD00000309,2026-04-21,2026-04-22,SETTLED
SET00000310,TRD00000310,2026-04-21,2026-04-22,PENDING
SET00000311,TRD00000311,2026-04-21,2026-04-22,SETTLED
SET00000312,TRD00000312,2026-04-21,2026-04-22,SETTLED
SET00000313,TRD00000313,2026-04-21,2026-04-22,SETTLED
SET00000314,TRD00000314,2026-04-21,2026-04-22,SETTLED
SET00000315,TRD00000315,2026-04-21,2026-04-22,SETTLED
SET00000316,TRD00000316,2026-04-21,2026-04-22,SETTLED
SET00000317,TRD00000317,2026-04-21,2026-04-22,SETTLED
SET00000318,TRD00000318,2026-04-21,2026-04-22,SETTLED
SET00000319,TRD00000319,2026-04-21,2026-04-22,SETTLED
SET00000320,TRD00000320,2026-04-21,2026-04-22,PENDING
SET00000321,TRD00000321,2026-04-21,2026-04-22,SETTLED
SET00000322,TRD00000322,2026-04-21,2026-04-22,SETTLED
SET00000323,TRD00000323,2026-04-21,2026-04-22,SETTLED
SET00000324,TRD00000324,2026-04-21,2026-04-22,SETTLED
SET00000325,TRD00000325,2026-04-21,2026-04-22,SETTLED
SET00000326,TRD00000326,2026-04-21,2026-04-22,SETTLED
SET00000327,TRD00000327,2026-04-21,2026-04-22,SETTLED
SET00000328,TRD00000328,2026-04-21,2026-04-22,SETTLED
SET00000329,TRD00000329,2026-04-21,2026-04-22,SETTLED
SET00000330,TRD00000330,2026-04-21,2026-04-22,PENDING
SET00000331,TRD00000331,2026-04-21,2026-04-22,SETTLED
SET00000332,TRD00000332,2026-04-21,2026-04-22,SETTLED
SET00000333,TRD00000333,2026-04-21,2026-04-22,SETTLED
SET00000334,TRD00000334,2026-04-21,2026-04-22,SETTLED
SET00000335,TRD00000335,2026-04-21,2026-04-22,SETTLED
SET00000336,TRD00000336,2026-04-21,2026-04-22,SETTLED
SET00000337,TRD00000337,2026-04-21,2026-04-22,SETTLED
SET00000338,TRD00000338,2026-04-21,2026-04-22,SETTLED
SET00000339,TRD00000339,2026-04-21,2026-04-22,SETTLED
SET00000340,TRD00000340,2026-04-21,2026-04-22,PENDING
SET00000341,TRD00000341,2026-04-21,2026-04-22,SETTLED
SET00000342,TRD00000342,2026-04-21,2026-04-22,SETTLED
SET00000343,TRD00000343,2026-04-21,2026-04-22,SETTLED
SET00000344,TRD00000344,2026-04-21,2026-04-22,SETTLED
SET00000345,TRD00000345,2026-04-21,2026-04-22,SETTLED
SET00000346,TRD00000346,2026-04-21,2026-04-22,SETTLED
SET00000347,TRD00000347,2026-04-21,2026-04-22,SETTLED
SET00000348,TRD00000348,2026-04-21,2026-04-22,SETTLED
SET00000349,TRD00000349,2026-04-21,2026-04-22,SETTLED
SET00000350,TRD00000350,2026-04-21,2026-04-22,PENDING
SET00000351,TRD00000351,2026-04-21,2026-04-22,SETTLED
SET00000352,TRD00000352,2026-04-21,2026-04-22,SETTLED
SET00000353,TRD00000353,2026-04-21,2026-04-22,SETTLED
SET00000354,TRD00000354,2026-04-21,2026-04-22,SETTLED
SET00000355,TRD00000355,2026-04-21,2026-04-22,SETTLED
SET00000356,TRD00000356,2026-04-21,2026-04-22,SETTLED
SET00000357,TRD00000357,2026-04-21,2026-04-22,SETTLED
SET00000358,TRD00000358,2026-04-21,2026-04-22,SETTLED
SET00000359,TRD00000359,2026-04-21,2026-04-22,SETTLED
SET00000360,TRD00000360,2026-04-21,2026-04-22,PENDING
SET00000361,TRD00000361,2026-04-21,2026-04-22,SETTLED
SET00000362,TRD00000362,2026-04-21,2026-04-22,SETTLED
SET00000363,TRD00000363,2026-04-21,2026-04-22,SETTLED
SET00000364,TRD00000364,2026-04-21,2026-04-22,SETTLED
SET00000365,TRD00000365,2026-04-21,2026-04-22,SETTLED
SET00000366,TRD00000366,2026-04-21,2026-04-22,SETTLED
SET00000367,TRD00000367,2026-04-21,2026-04-22,SETTLED
SET00000368,TRD00000368,2026-04-21,2026-04-22,SETTLED
SET00000369,TRD00000369,2026-04-21,2026-04-22,SETTLED
SET00000370,TRD00000370,2026-04-21,2026-04-22,PENDING
SET00000371,TRD00000371,2026-04-21,2026-04-22,SETTLED
SET00000372,TRD00000372,2026-04-21,2026-04-22,SETTLED
SET00000373,TRD00000373,2026-04-21,2026-04-22,SETTLED
SET00000374,TRD00000374,2026-04-21,2026-04-22,SETTLED
SET00000375,TRD00000375,2026-04-21,2026-04-22,SETTLED
SET00000376,TRD00000376,2026-04-21,2026-04-22,SETTLED
SET00000377,TRD00000377,2026-04-21,2026-04-22,SETTLED
SET00000378,TRD00000378,2026-04-21,2026-04-22,SETTLED
SET00000379,TRD00000379,2026-04-21,2026-04-22,SETTLED
SET00000380,TRD00000380,2026-04-21,2026-04-22,PENDING
SET00000381,TRD00000381,2026-04-21,2026-04-22,SETTLED
SET00000382,TRD00000382,2026-04-21,2026-04-22,SETTLED
SET00000383,TRD00000383,2026-04-21,2026-04-22,SETTLED
SET00000384,TRD00000384,2026-04-21,2026-04-22,SETTLED
SET00000385,TRD00000385,2026-04-21,2026-04-22,SETTLED
SET00000386,TRD00000386,2026-04-21,2026-04-22,SETTLED
SET00000387,TRD00000387,2026-04-21,2026-04-22,SETTLED
SET00000388,TRD00000388,2026-04-21,2026-04-22,SETTLED
SET00000389,TRD00000389,2026-04-21,2026-04-22,SETTLED
SET00000390,TRD00000390,2026-04-21,2026-04-22,PENDING
SET00000391,TRD00000391,2026-04-21,2026-04-22,SETTLED
SET00000392,TRD00000392,2026-04-21,2026-04-22,SETTLED
SET00000393,TRD00000393,2026-04-21,2026-04-22,SETTLED
SET00000394,TRD00000394,2026-04-21,2026-04-22,SETTLED
SET00000395,TRD00000395,2026-04-21,2026-04-22,SETTLED
SET00000396,TRD00000396,2026-04-21,2026-04-22,SETTLED
SET00000397,TRD00000397,2026-04-21,2026-04-22,SETTLED
SET00000398,TRD00000398,2026-04-21,2026-04-22,SETTLED
SET00000399,TRD00000399,2026-04-21,2026-04-22,SETTLED
SET00000400,TRD00000400,2026-04-21,2026-04-22,PENDING
SET00000401,TRD00000401,2026-04-21,2026-04-22,SETTLED
SET00000402,TRD00000402,2026-04-21,2026-04-22,SETTLED
SET00000403,TRD00000403,2026-04-21,2026-04-22,SETTLED
SET00000404,TRD00000404,2026-04-21,2026-04-22,SETTLED
SET00000405,TRD00000405,2026-04-21,2026-04-22,SETTLED
SET00000406,TRD00000406,2026-04-21,2026-04-22,SETTLED
SET00000407,TRD00000407,2026-04-21,2026-04-22,SETTLED
SET00000408,TRD00000408,2026-04-21,2026-04-22,SETTLED
SET00000409,TRD00000409,2026-04-21,2026-04-22,SETTLED
SET00000410,TRD00000410,2026-04-21,2026-04-22,PENDING
SET00000411,TRD00000411,2026-04-21,2026-04-22,SETTLED
SET00000412,TRD00000412,2026-04-21,2026-04-22,SETTLED
SET00000413,TRD00000413,2026-04-21,2026-04-22,SETTLED
SET00000414,TRD00000414,2026-04-21,2026-04-22,SETTLED
SET00000415,TRD00000415,2026-04-21,2026-04-22,SETTLED
SET00000416,TRD00000416,2026-04-21,2026-04-22,SETTLED
SET00000417,TRD00000417,2026-04-21,2026-04-22,SETTLED
SET00000418,TRD00000418,2026-04-21,2026-04-22,SETTLED
SET00000419,TRD00000419,2026-04-21,2026-04-22,SETTLED
SET00000420,TRD00000420,2026-04-21,2026-04-22,PENDING
SET00000421,TRD00000421,2026-04-21,2026-04-22,SETTLED
SET00000422,TRD00000422,2026-04-21,2026-04-22,SETTLED
SET00000423,TRD00000423,2026-04-21,2026-04-22,SETTLED
